Location,Coordinates
"Hamada al Hambra, Libya","(47.609935, 7.6602234)"
"Kodinsk, Russia","(58.6027015, 99.1887515)"
"Bîr Mogreïn, Mauritania","(25.2311431, -11.5810134)"
"Leninakan, Armenia, USSR","(40.5489061, 44.9589407)"
"Near Luxor, Egypt","(25.702096, 32.647186)"
"Lockerbie, Scotland","(55.1218578, -3.355237)"
"Leicestershire, England","(52.6849137, -1.1847653)"
"Near Abilene, Texas","(32.44645, -99.7475905)"
"Rangoon, Myanmar","(16.7719058, 96.1675197)"
"Santa Maria, Azores, Portugal","(36.9726215, -25.1026495)"
"Near Kuala Lumpur, Malaysia","(3.1526589, 101.7022205)"
"Near Quebec City, Quebec, Canada","(46.8137431, -71.2084061)"
"Dryden, Ontario, Canada","(49.785698, -92.835846)"
"West Lafayette, Indiana","(40.4258686, -86.9080655)"
"Carswell AFB, Texas","(29.3862862, -98.6009001)"
"Pohang, South Korea","(36.0189315, 129.3429384)"
"Guarulhos, Brazil","(-23.4675941, -46.5277704)"
"Col de Tourniol, France","(44.9185137, 5.1844674)"
"Near Cucuta, Colombia","(8.0776187, -72.4689002)"
"Baranquilla, Colombia","(10.9977343, -74.7911478)"
"Near Cancun, Mexico","(21.1527467, -86.8425761)"
"Oskarshamn, Sweden","(57.2632811, 16.4443478)"
"Near Tainjin, China","(39.0948375, 117.210518)"
"Near Paramaribo, Surinam","(5.8241764, -55.1662813)"
"Vereda el Salitre, Colombia","(4.2634682, -75.1409227)"
"Zabol, Iran","(31.0277779, 61.4948211)"
"Near Tarma, Peru","(-11.2949681, -75.7163878)"
"Kaohsiung, Taiwan","(22.6203348, 120.3120375)"
"Yaounde,  Cameroon","(3.8689867, 11.5213344)"
"Near Borana, Somalia","(22.3129175, 74.3879824)"
"Cartersville, Georgia","(34.1652304, -84.7997613)"
"Glen Burnie, Maryland","(39.1595439, -76.6151514)"
"Talourow Island, USSR","(6.2736517, 99.7339292)"
"Porgera, New Guinea","(-5.5226203, 142.0871194)"
"Near Jalalabad, Afghanistan","(34.430195, 70.460128)"
"Near Chana, Angola","(-8.8850714, 13.2054645)"
"Off Ullung Do, South Korea","(37.5011143, 130.8586064)"
"Samos, Greece","(37.7246162, 26.8192919)"
"Near Gambela, Ethiopia","(7.8102647, 34.1822172)"
"Near Midford Sound, New Zealand","(-44.6190189, 167.8687603)"
"Janice, Mississippi","(31.0254635, -89.0367166)"
"Shanghai, China
, China","(22.1900733, 113.5449843)"
"Near Gilgit, Pakistan","(36.1871083, 73.764763)"
"Near Sao Jose do Xingu, Brazil","(-10.803888, -52.7357819)"
"Near Havana, Cuba","(23.1332314, -82.3502946)"
"Skagerrak, Denmark","(56.4797284, 9.5665611)"
"Mayfield, Kentucky","(36.7413624, -88.6352595)"
"Near Bentuni, Indonesia",
"Near Bilma, Niger","(18.69293, 12.91872)"
"La Guardia Airport, New York, New York","(40.7757145, -73.873364)"
"Centeral Afghanistan
Afghanistan","(33.7680065, 66.2385139)"
"Near Baghran, Afghanistan","(33.014064, 65.042082)"
"Ujani Dam, India","(23.6462357, 76.9165715)"
"Terrace,  Canada","(54.5172715, -128.599548)"
"Grand Canyon National Park Airport, Tusayan, Arizona","(35.9525161, -112.1452036)"
"Semyonovka ,Ukraine","(47.9268014, 29.21408)"
"Perth, Ontario, Canada","(43.4935991, -81.0164111)"
"Uncertain, Texas","(32.7120883, -94.1212966)"
"Lacey Township, New Jersey","(39.8726184, -74.2951444)"
"Urpay, Peru","(-8.3479399, -77.3892967)"
"Nasosny, Russia",
"Petropavlovsk, USSR",
"Hualien, China",
"Halawa Point, Molokai, Hawaii","(21.1344895, -157.0071539)"
"Maluti Mountains, Lesotho","(11.4432962, 122.524724)"
"Near Tyumem, Russia",
Albania,"(5.7587654, -73.9151617)"
"Near Jamba, Angola","(-14.6902435, 16.0305922)"
"Charallave, Venezuela","(10.2456598, -66.8586608)"
"Block Island, Rhode Island","(41.1895771, -71.5679001)"
"Patuxent, Maryland","(38.5392883, -76.748577)"
"Near Guayaramerin, Bolivia","(-10.818915, -65.3550455)"
"Near Visina, Romania","(43.8661105, 24.4534273)"
Milford Sound,"(-44.6190189, 167.8687603)"
"Java Sea, Indonesia","(-4.0541, 121.5897)"
"Near Pervouralsk, Russia","(56.9051246, 59.9431941)"
"Pico Blanco, Costa Rica","(9.8729018, -84.1488124)"
"Near Leadville, Colorado","(39.2508229, -106.2925238)"
"Mt Rijani, Lombok Island, Indonesia","(-8.5835637, 116.3580819)"
"Cove Neck, New York","(40.8823207, -73.5059562)"
"Zavkhan, Mongolia","(48.2934284, 96.4479958)"
"Near Kinkala, Congo","(-4.3565973, 14.7587752)"
"Burlington, Vermont","(44.4761601, -73.212906)"
"Plattsburgh, New York","(44.6960855, -73.4542915)"
"Near Ibague, Colombia","(4.4386033, -75.2108857)"
"Bauru, Brazil","(-22.3218102, -49.0705863)"
"Near Bangalore, India","(18.4817087, 73.8016688)"
"Near Ngwerere, Zambia","(-15.2853637, 28.3909082)"
"Near Meerut, India","(29.0018557, 77.7679671)"
"Off Freetown, Sierre Leone","(8.479004, -13.26795)"
"Las Mesitas, Honduras","(14.4249905, -88.9660592)"
Santiago de Cuba,"(20.0214263, -75.8294928)"
"Kabul, Afghanistan","(34.5266431, 69.1849082)"
"Near Kuito, Angola","(-12.3831319, 16.9425484)"
"Off Vaeroy, Norway","(67.6548119, 12.7261792)"
"Off Contadora, Panama","(8.6268728, -79.0369891)"
"Near Kinshasa, Zaire","(-4.3217055, 15.3125974)"
"Ship Sands Island, ON, Canada","(45.1487216, -76.1388924)"
"Tarbert, England","(51.4572148, -0.0806944)"
"Guatamala City , Guatemala","(14.6416142, -90.5132836)"
"Tuxtla-Gutierrez, Mexico","(16.753801, -93.115959)"
"Near Wurzburg , Germany","(49.7933723, 9.9309779)"
"Thistle Lake, Northwest Territory, Canada","(63.000147, -136.002502)"
"Near Altamira, Brazil","(16.8714613, -99.8780159)"
"Oxfordshire, England","(51.833333, -1.25)"
"Near Port Morseby, New Guinea","(-5.5226203, 142.0871194)"
"Near Maymaneh, Afghanistan","(35.9304371, 64.7611806)"
"Stepanakert, Azerbaijan, USSR",
"Near Shindand, Afghanistan","(33.254378, 62.380804)"
"Elkhorn, Wisconsin","(42.6719206, -88.543494)"
"Near Kaiserslautern, Germany","(49.4432174, 7.7689951)"
"Kaltag, Alaska","(64.3276089, -158.7254198)"
"Off Sondre Stromfjord, Greenland","(67.0086767, -50.6913356)"
"Koltsovo, Russia","(54.9367736, 83.187139)"
"Off Fernando de Noronha, Brazil","(-3.8537498, -32.4198018)"
"Cape Canaveral, Florida","(28.4513556, -80.5283059)"
"Near Bella Vista, Bolivia","(-31.1045253, -64.4934538)"
"Stadelberg, Switzerland","(47.4007479, 8.956141)"
"Near Ashkhabad, Turkmenistan, USSR","(37.6706422, 61.7577436)"
"Koh Samui, Thailand","(9.5013944, 99.9956193)"
"Off Ravenna, Italy","(44.3640607, 12.0590095)"
"Near Matak, Indonesia","(3.3479824, 106.2579734)"
"Near Paramo Mucuti, Venezuela",
"Jalaludin, Indonesia","(-3.7109609, 102.525086)"
"Near Ras Al Khafji, Saudi Arabia","(28.4225409, 48.4927814)"
"Near Nea Ankhialos, Greece","(39.280167, 22.8186102)"
"Near Taisha, Ecuador","(-2.4406358, -77.3827259)"
"Puerto Williams, Chile","(-54.935761, -67.6061824)"
"Cazombo, Angola","(-11.8981934, 22.9061022)"
"Near Colorado Springs, Colorado","(38.8339578, -104.825348)"
"La Puerta, Venezuela","(9.1262137, -70.7110746)"
"San Diego, CA","(32.7174202, -117.162772)"
"Malanje, Angola","(-9.535332, 16.9364293)"
"Ras-al-Mishab, Saudi Arabia","(28.0993601, 48.6116925)"
"Off San Diego, California","(32.7174202, -117.162772)"
"Navoi,  Uzbekistan","(42.0, 64.0)"
"Lake Thutade, Canada","(56.9281503, -126.8875119)"
"Marion, Pennsylvania","(39.8573144, -77.6952703)"
"Brunswick, Georgia","(31.1499528, -81.4914894)"
"Off Nuka Hiva, French Polynesia","(-8.8733104, -140.1245635)"
"Sulawesi, Indonesia","(-5.525115, 120.2284286)"
"Grand Canyon, Airzona","(34.9799429, -101.919197)"
"La Poyatta, Colombia",
"Bakhtaran, Iran","(34.3239414, 47.0735891)"
"Near Ban Nong Rong, Thailand","(12.7405466, 99.7867153)"
"Off Matthewtown, Great Inagua","(21.12637, -73.3141828)"
"Near Malambo, Colombia","(10.8653387, -74.7746194)"
"Gulf of Finland, Russia","(55.7388948, 37.5904274)"
"Near Sokotu, Nigeria",
"Bellavista Airport, Peru","(-5.2883902, -76.292099)"
"Jeddah, Saudi Arabia","(21.5504432, 39.1742363)"
"Espiritu Santos, Vanuatu","(-23.9335988, -46.3286399)"
"Rarotonga, Cook Islands","(-21.2368312, -159.7774744)"
"Near Uricani, Romania","(47.156943, 27.4861112)"
"Imphal, India","(24.7991162, 93.9364419)"
"Walton, Oregon","(44.0307442, -123.5853932)"
"Sampit, Indonesia","(-2.5389113, 112.949389)"
"Long Seridan, Malaysia","(3.977604, 115.0689841)"
"Near Eagle Lake, Texas","(29.5895382, -96.331239)"
"Petropavlosk, USSR",
"Djibouti City, Djibouti
	Djibouti City, Djibouti
Djibouti City, Djibouti","(15.3291683, 44.1923948)"
"Belvedere Center, Vermont","(39.7732096, -86.1580902)"
"Khatanga, Russia","(72.5720585, 104.2904408)"
"Off St. Petersburg, USSR","(59.9606739, 30.1586551)"
"Guadalcanal Island, Solomon Islands","(-9.5984209, 160.1485117)"
"Near Villavicencio,  Colombia","(4.1347644, -73.6201517)"
"Aponguao Falls, Venezuela","(31.2320941, -96.9262126)"
"Tumbang Miri, Indonesia","(-0.9160201, 113.5526778)"
"Near Point Alert, Ellesmere Island, NWT,Canada","(49.9963332, -127.4487589)"
"Near Karakent, USSR","(39.4611956, 44.0038491)"
"Makhackala, Russia",
"Recife, Brazil","(-8.0584933, -34.8848193)"
"Anderma, Russia",
"Davis, California","(38.5435526, -121.739005)"
"Nagoro-Karabak, USSR",
"Sena, Mozambique","(-17.445439, 35.029225)"
"Guaratingueta AB, Brazil","(-22.8057839, -45.1908926)"
"Heidelberg, Germany","(49.4093582, 8.694724)"
"Wanli, Taiwan","(25.181234, 121.688687)"
"Mt. Saint-Odile, near Strasbourg, France","(48.584614, 7.7507127)"
"Near Stepanakert, Azerbaijan","(39.8259355, 46.7495531)"
"Caetite, Brazil","(-14.0691776, -42.4852428)"
"Near Kafountine, Senegal","(12.927555, -16.736405)"
En route from Argentina  to  California,"(-31.4510961, -64.2055231)"
"Beni, Bolivia","(-14.0, -65.0)"
"Etsouali, Congo","(-2.8561907, 15.5493267)"
"Near Baikov, Russia",
"Near Sarra, Libya","(21.688273, 21.8295689)"
"Off Orchid Island, Taiwan","(22.0438499, 121.5422433)"
"Near Goroka, Papua New Guinea","(-6.0730028, 145.3932891)"
"Perris Valley, California","(33.7643852, -117.2163342)"
"Mt. Haleakala, Hawaii","(20.7076743, -156.2575841)"
"Saveh, Iran","(35.0196331, 50.3652364)"
"Tucuti, Panama","(7.9601443, -77.9327624)"
"Cruzeiro do Sul, Brazil","(-29.5139742, -51.9917068)"
"Norlisk, Russia",
"Near Iyakochchi, Sri Lanka","(7.5554942, 80.7137847)"
"Bethel, Alaska","(60.7922222, -161.755833)"
"Near Nakhichevan, Azerbaijan","(39.1868399, 45.4569024)"
"Near Bir Fadl, Yemen","(12.865, 44.9625)"
"Tbilisi, Georgia","(41.6934591, 44.8014495)"
"Near Skopje, Macedonia","(41.961308, 21.292864)"
"Mt. Lalaboy,  Indonesia",
"Nanjing, Jiangsu, China","(32.0438284, 118.7788631)"
"Colorado, Bolivia","(-17.5429363, -64.7991084)"
"Hot Springs, Arizona","(33.0479902, -109.4410421)"
"Near Iquitos, Peru","(-3.749365, -73.2444145)"
"Near Ivanovo, Russia","(57.0088004, 40.9630633)"
"Jamba, Angola","(-14.6902435, 16.0305922)"
"Bellavista, Peru","(-7.6842476, -76.3153378)"
"Kozyrevsk, Russia","(56.0498765, 159.8703005)"
"Hana, Hawaii","(20.7573988, -155.9879846)"
"Off Curacao, Netherlands Antilles","(12.1845, -68.6607923)"
"Near Kular, Russia","(70.639252, 134.349777)"
"Near  Kathmandu, Nepal","(27.708317, 85.3205817)"
"Berkeley Springs, West Virginia","(39.6267975, -78.2279514)"
"Near Dingxi, China","(35.1773165, 104.59362)"
"Mogadiscio, Somalia","(2.0349312, 45.3419183)"
"Near Garut, Jawa, Indonesia","(-7.0842322, 107.9150076)"
"Near Usti Nem, Russia","(61.4800661, 55.6987911)"
"Near Lake Caballochoa, Peru",
"Chita, Russia","(52.033409, 113.500893)"
"Off Bombay, India","(19.13171, 72.835117)"
"Near Tver, Russia","(56.8596713, 35.8952416)"
"Near Porto Plata, Dominican Republic","(19.7225234, -70.7208338)"
"Near Guilin, China","(25.2779894, 110.2910622)"
"Near Harlem, Montana","(48.532501, -108.784903)"
"Uruapan, Mexico","(19.4147269, -102.0522647)"
"Goma, Congo","(-1.6665685, 29.225652)"
"Lata, Georgia","(43.0327114, 41.4799855)"
"Faro, Algarve, Portugal","(37.2448086, -8.1507562)"
"Ogden, Utah","(41.2230048, -111.9738429)"
"Sellafield, England","(54.4166451, -3.5104538)"
"Near Bronson Creek, British Colombia, Canada","(56.6606299, -131.0641634)"
"Kinshasa, Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Sumatra, Indonesia","(5.5527974, 95.3000921)"
"Near Daraim, Afghanistan","(36.9111458, 70.3685584)"
"Off Green Island, Taiwan","(22.6616764, 121.492596)"
"Skopje, Macedonia","(41.9961816, 21.4319213)"
"Near Tangara de Serra, Brazil","(-13.406856, -58.3182455)"
"Blountville, Tennesee",
"Off Margarita Island, Venezuela","(11.0205596, -63.9073984)"
"950 nm S of  Shemya, Alaska","(52.7227455, 174.1003202)"
"Zwingle, Iowa","(42.2975404, -90.6875607)"
"Zavnah, Mongolia",
"Aurangabad, India","(24.80332, 84.4110198)"
"Off  Libreville, Gambia","(0.4086518, 9.4418849)"
"Near Kholm, Afghanistan","(36.814534, 67.743267)"
"Suva, Fiji","(-18.1415884, 178.4421662)"
"Gulgubip, Papua New Guinea","(-5.2804449, 141.5412334)"
"Nabire, Indonesia","(-3.360285, 135.5023653)"
"Near Tbilisi, Georgia","(41.6934591, 44.8014495)"
"Sorong, Irian Jaya, Indonesia","(-6.1895649, 106.6150929)"
"Near Ochamchire, Georgia","(42.7121136, 41.4721354)"
"Talladega, Alabama","(33.3967079, -86.1597137)"
"Yinchuan, China","(38.4852037, 106.2261926)"
"Haenam, South Korea","(34.5734106, 126.5989275)"
"Serawak, Malaysia","(3.2106046, 101.7491114)"
"Devghat, Nepal","(27.8104986, 84.3671014)"
"Leeward Point Airfield, Guantanamo Bay, Cuba","(19.9709396, -75.1434583)"
"Near Aldan, Russia","(58.608414, 125.388222)"
"Khorag, Tajikistan",
"Sukhumi, Georgia","(43.0033629, 41.0192741)"
"Near Svanetia, Georgia","(42.7026025, 43.6319258)"
"Franz Josef Glacier, New Zealand","(-43.4757369, 170.198137)"
"Fuzhou, China","(26.0774954, 119.2918215)"
"Near Namsos, Norway","(64.4666372, 11.3345047)"
"Sandy Lake, Canada","(53.0455339, -93.1045142)"
"Urumqi, China","(43.8244074, 87.6139038)"
"Near Kerman, Iran","(29.571858, 57.301047)"
"Near Ohrid, Macedonia","(41.1170203, 20.8017715)"
"Hibbing, Minnesota","(47.427155, -92.937689)"
"Tuktoyaktuk, NWT, Canada","(62.4271339, -114.4193024)"
"Phonesavanh, Laos","(17.9486274, 102.6246379)"
"Near Naga, Philippines","(13.6240122, 123.1850318)"
"Gyumri, Armenia","(40.7852085, 43.8416095)"
"Near Mamony, Siberia, Russia","(52.303055, 104.155769)"
"Nalchik, Russia","(43.4769604, 43.5966578)"
"East Midlands, England","(53.1188177, -1.2597069)"
"Near Carpish, Peru","(-9.5303175, -76.1142754)"
"Off Malindi, Kenya","(-3.2295935, 39.9749752)"
Near Nag,
"Weipa, Australia","(-12.6386641, 141.8710861)"
"Near Mezhdurechensk, Russia","(53.6863763, 88.0703443)"
"Lamoille, Nevada","(40.7279826, -115.478392)"
"Ambato, Ecuador","(-1.2422413, -78.6287594)"
"Kigali, Rwanda","(-1.8859597, 30.1296751)"
Northern Iraq,"(36.3813948, 43.1329532)"
"Nanga Pinoh, Indonesia","(-0.3316049, 111.7370026)"
"Near Komaki, Aichi, Japan","(35.3066073, 136.934098)"
"Sao Gabriel, Brazil","(-30.334214, -54.3227149)"
"Loma Linda, Colombia","(9.8330548, -73.7885558)"
"Near Campbeltown, Scotland","(55.4241858, -5.6051005)"
"Near Xi'an, China","(34.261004, 108.9423363)"
"Near Uruapan, Mexico","(19.4147269, -102.0522647)"
"Mt.  Kalora, Indonesia","(-0.9578676, 119.7496049)"
"Chantilly, Virginia","(38.885219, -77.4486772)"
"Near Logar, Afghanistan","(34.0653595, 69.160172)"
"Toulouse-Blagnac, France","(43.629978, 1.3608099)"
"Near Tidjika, Mauritania",
"Charlotte, North Carolina","(35.2272086, -80.8430827)"
"Hanalei, Hawaii","(22.2029937, -159.4956949)"
"Near Fort de France, Martinique","(14.6027962, -61.0676724)"
"Boma, Democratic Republic Congo","(-2.9814344, 23.8222636)"
"Colon, Panama","(9.3553005, -79.8974085)"
"East Kalimantan, Indonesia","(-1.2719427, 116.8061802)"
"Near Boda, Russia","(56.6851526, 53.2818271)"
"Kodiak, Alaska","(57.7901661, -152.4067073)"
"Cheju, South Korea","(33.4887737, 126.4987083)"
"Alsworth, Alaska","(60.2029778, -154.3191843)"
"Whiting, New Jersey","(39.9545613, -74.3784815)"
"Near Agadir, Morocco","(30.4205162, -9.5838532)"
"Near Aliquippa, Pennsylvania","(40.6102386, -80.267726)"
"Near Abuja, Nigeria","(9.0643305, 7.4892974)"
"Fish Egg Inlet, Canada","(51.622264, -127.7778121)"
"Near Vanavera, Russia",
"Bahia Negra, Paraguay","(-20.2308712, -58.1690716)"
"Chaibukha, Russia",
"Mitu, Colombia","(1.2538499, -70.2345576)"
"Krakas Mountains, near Natanz , Iran","(33.5071275, 51.9135547)"
"Near Formoso do Aragala, Brazil",
"Near Cuito, Angola","(-12.3831319, 16.9425484)"
"Batagaj, Russia","(67.654907, 134.635071)"
"Near Ust'-Ilimsk, Russia","(57.959473, 102.734192)"
"Roselawn, Indiana","(41.151458, -87.2856621)"
"Off Cozumel, Mexico","(20.4320599, -86.9206906)"
"Saposa, Peru",
"Avenal, California","(36.0041223, -120.1290272)"
Papua New Guinea,"(-5.6816069, 144.2489081)"
"Bridgeton, Missouri","(38.7566055, -90.42352)"
"Morrisville, North Carolina","(35.824341, -78.8300321)"
"Cerro Aicha, Venezuela","(46.7759377, 11.641776)"
"Coventry, England","(52.4081812, -1.510477)"
"Algiers Airport, Algeria","(36.7014097, 3.2293305)"
"Near Van, Turkey","(38.3249599, 43.6589825)"
"Isfahan, Iran","(32.6798632, 51.684444)"
"Off Flores Island, Inodnesia","(49.3229927, -126.1560368)"
"Cartagena, Colombia","(10.4265566, -75.5441671)"
"Near Krasnoyarsk, Russia","(56.0091173, 92.872586)"
"Ossora, Russia","(59.2975701, 162.5215525)"
"Near Balotesti, Romania","(46.4016758, 27.3135004)"
"Lagos, Nigeria","(6.4550575, 3.3941795)"
"Near Palaly AFB, Sri Lanka","(7.5554942, 80.7137847)"
"Sioux Falls, Ontario, Canada","(49.3358934, -94.0888232)"
"Cerro San Jeronimo, Colombia","(5.380295, -74.1138612)"
"Near Boise, Idaho","(43.6166163, -116.200886)"
"Near Leeds, England","(53.7974185, -1.5437941)"
"Miraflores, Colombia","(5.1514125, -73.1705152)"
"Off Mbour, Senegal","(14.3858774, -16.8297976)"
"Near Palmerston North, New Zealand","(-40.356317, 175.6112388)"
"Volgograd, Russia","(48.6975445, 44.5136113)"
"Herputchi, Russia",
"Near Cuvela, Angola","(45.8197212, 15.7950849)"
"La Romana, Dominican Republic","(18.4230137, -68.9661104)"
"Kiunga, Papua New Guinea","(-6.1159886, 141.2981755)"
"Gumey, Papua New Guinea","(-5.6816069, 144.2489081)"
"Bintuni,  Indonesia","(-2.1138854, 133.5287755)"
"Near Antananivo, Madagascar","(-15.4104895, 47.9596207)"
"Near Karamui, Papua New Guinea","(-6.4977578, 144.8290788)"
"Johannesburg, South Africa","(-26.205, 28.049722)"
"Mt. Chichontepec, San Vincente, El Salvador","(13.8000382, -88.9140683)"
"Near Kaimana, Indonesia","(-3.5158359, 134.3165746)"
"Nevada del Huila, Colombia","(2.9292062, -76.0280368)"
"Near Carrollton, Georgia","(33.5801103, -85.0766113)"
"Near Farewell, Alaska","(62.5161409, -153.6141867)"
"Beaver Dam, Arizona","(36.8997989, -113.9359348)"
"Toronto, Ontario, Canada","(43.6534817, -79.3839347)"
"Near La Macarena, Colombia","(2.1833828, -73.7857879)"
"Jalalabad, Afghanistan","(34.430195, 70.460128)"
"Off Colombo, Sri Lanka","(6.9388614, 79.8542005)"
"Tawau,  Malaysia","(4.2435206, 117.885331)"
"Near Moron, Mongolia","(49.6284811, 100.1745571)"
"Sterligov Cape, Russia","(55.7633436, 37.5970012)"
"Campbell River, British Columbia, Canada","(50.023071, -125.244153)"
"Gunung Antara, Indonesia","(3.155369, 99.4697627)"
"Barskoon, Kirghizia",
"Near Luyaba, Argentina","(-32.1497856, -65.0584813)"
"East Granby, Connecticut","(41.9412081, -72.7273158)"
"Kaduna, Nigeria","(10.5182899, 7.4359863)"
"Off Jaffna Peninsula , Sri Lanka","(7.5554942, 80.7137847)"
"Off Labuan, Malaysia","(5.3168336, 115.2198613)"
"Baku, Azerbaijan","(40.3755885, 49.8328009)"
"Near Douala, Cameroon","(4.0429389, 9.7062018)"
"Near Nakhichevan, Azerbaijan, Russia","(40.3888611, 49.8333776)"
"Near Grossevichi, Russia","(47.985031, 139.533112)"
"Verona  - Villafranca, Italy","(45.3509277, 10.8459956)"
"Cahungula, Angola",
"Near Buga, Valle del Cauca, Colombia","(3.9000578, -76.302013)"
"Bagasin, Papua New Guinea","(-5.6816069, 144.2489081)"
"Off Point Pedro, Sri Lanka","(9.8241007, 80.2361837)"
"St. Johns, Arizona","(34.5016065, -109.3761198)"
"Off Puerto Plata, Domincan Republic","(19.7225234, -70.7208338)"
"Port-au-Prince, Hati","(18.547327, -72.3395928)"
"Near Jabal Awliya, Sudan","(15.244386, 32.509082)"
"Near Lukapa, Angola","(-8.4405395, 20.7320763)"
"Arequipa, Peru","(-16.4026072, -71.5341564)"
"Near Mesones Muro, Peru","(-5.0725177, -78.3320501)"
"Karabogazgol Bay, Turkmenistan","(40.752323, -73.9658707)"
"Near Dubrovnik, Croatia","(42.6491029, 18.0939501)"
"Near Petropavlovsk, Russia","(60.372566, 134.459961)"
"Off Matsu Island, Taiwan","(26.369055, 120.4884646)"
"Near Haj Yousif, Sudan","(15.5930101, 32.63551)"
"Near Terrace, British Columbia, Canada","(54.5172715, -128.599548)"
"Otaez, Mexico","(24.7121884, -105.9178697)"
"Oumba, Papua New Guinea","(-5.6816069, 144.2489081)"
"Everglades, Miami, Florida","(25.7227736, -80.2443159)"
"Griesta, United Kingdom","(60.1767985, -1.2654889)"
"Rasht, Iran","(37.2793607, 49.5846102)"
"Near Rollingstone, Queensland  Australia","(-19.043753, 146.3845986)"
"Fukuoka, Japan","(33.6251241, 130.6180016)"
"Near Kanda, India","(29.8468789, 79.9373176)"
"Near Eindhoven, The Netherlands","(51.4392648, 5.478633)"
"Off East Moriches, New York","(40.809848, -72.7553916)"
"Near Playa del Carmen, Mexico","(20.6308643, -87.0779503)"
"Russian Mission, Alaska","(61.785, -161.3202778)"
"Near Mergui, Manmar","(12.4319552, 98.5955711)"
"Markham Bay, Canada","(63.5885692, -71.9227549)"
"Near Bronson Creek, British Columbia, Canada","(56.6606299, -131.0641634)"
"Near Jackson Hole, Wyoming","(43.684017, -110.4436629)"
"Near Alliford Bay, British Columbia, Canada2","(53.2075273, -132.0007155)"
"Belgrade, Yugosalvia",
"Near Longyearbyen, Norway","(78.2231558, 15.6463656)"
"Waddenzee, Netherlands","(53.2322791, 5.1852287)"
"Off Pasamayo, Peru","(-11.6063057, -77.2178042)"
"Kahemba, Congo","(-7.2919121, 18.9582005)"
"Lukapa, Angola","(-8.4405395, 20.7320763)"
"Manta, Ecuador","(-1.0320064, -80.8169311)"
"Sao Paolo, Brazil","(-23.5506507, -46.6333824)"
"Near Tikal, Guatemala","(16.9069737, -89.9304772)"
"Aubusson, France","(48.7842759, -0.5521714)"
"Near Charkhi Dadri, India","(28.5919933, 76.2719817)"
"Bolchaïa Pyssa, Russia","(64.1663292, 48.8283518)"
"Quincy, Illinois","(39.9356016, -91.4098727)"
"Off Cape Mendocino, CA","(40.4403552, -124.4091279)"
"Off Mitsamiouli, Comoros","(-11.3888547, 43.2930126)"
"Abakan, Siberia, Russia","(53.72068, 91.4406019)"
"Boise, Idaho","(43.6166163, -116.200886)"
"Tver, Russia","(56.8596713, 35.8952416)"
"Rio Negro, Colombia","(5.7169833, -74.473683)"
"Narrows, Virginia","(37.3315103, -80.8111867)"
"Near Nellore, India","(14.4493717, 79.9873763)"
"Dorchester, New Hampshire","(43.7565057, -71.9490529)"
"Near Moamoa, Samoa","(-13.8571312, -171.7842517)"
"Near Monroe, Michigan","(41.9153358, -83.5135665)"
"Sparrevohn, Alaska","(61.0960436, -155.5746051)"
"Yola, Nigeria","(9.2089255, 12.4802485)"
"Tambacoumba, Senegal","(12.6187699, -15.9944823)"
"Near Quiangala, Angola","(-7.4502441, 14.8949246)"
Northern Israel,"(33.0632002, 35.2511537)"
"Lucapa, Angola","(-8.4195244, 20.7410918)"
"Near Mashhad, Iran","(36.2974945, 59.6059232)"
"Cherkessk, Russia","(44.2285229, 42.048257)"
"Griffin, Georgia","(33.2467807, -84.2640904)"
"Near Wainwright, Alaska","(70.6369444, -160.038333)"
"Brazzaville, Democratic Republic Congo","(-4.272507, 15.2830399)"
"Gyandzha, Azerbaijan",
"Near Sorei, Niger","(60.9171812, 9.4248454)"
"Tanjung Pandan, Indonesia","(-4.7033455, 103.2833167)"
"Near Konduz, Afghanistan","(36.7175566, 68.8672916)"
"Huangtian, China","(30.4615043, 118.496642)"
"Near Irumu, Congo","(1.2701851, 30.0166393)"
"Mandalgobi, Mongolia","(45.7630435, 106.2704145)"
"Madh Island, India","(19.1979362, 72.8002494)"
"Suzano, Brazil","(-23.5427842, -46.3108391)"
"Off Santiago de Cuba, Cuba","(20.0214263, -75.8294928)"
"Bandung, Indonesia","(-6.9215529, 107.6110212)"
"Goroka,  New Guinea","(-5.5226203, 142.0871194)"
"Calabar , Nigeria","(4.9795999, 8.3373597)"
"Florence, Italy","(43.7697955, 11.2556404)"
"Matsu Island, Taiwan","(26.369055, 120.4884646)"
"Puerto Inirida, Venezuela","(3.8650368, -67.9259848)"
"Phnom Penh, Cambodia","(11.549112, 104.896529)"
"Near Miri, Malaysia","(4.3940102, 113.9880199)"
"Near Uvira, Zaire","(-3.4055866, 29.1375509)"
"Off Namibia, Africa","(-22.5543006, 17.0955821)"
"Buah Nabar, Indonesia","(3.355789, 98.5751592)"
"Near Montrose, Colorado","(38.4375391, -108.2403855)"
"Nuevo Berlin, Uruguay","(-32.9798006, -58.0505533)"
"Monterey Bay, near Pacific Grove, California","(36.6211149, -121.917794)"
"Jalal-Abad, Afghanistan","(34.4305303, 70.4612956)"
"Near Barrow, Alaska","(71.3865172, -156.4741383)"
"Irkutsk-2, Russia","(52.3533582, 104.2191538)"
"Little Grand Rapids, Canada","(52.0196462, -95.4547602)"
"La Veriente, Bolivia",
"Fotina, Greece","(40.2672185, 22.5979705)"
"Tanagra, Greece","(38.3279631, 23.536722)"
